state,title,url,date
NJ,RELEASE: New Coalition Launches to Advocate for New Jersey’s App-Based Independent Workers,https://njcoalition4independentwork.com/release-new-coalition-launches-to-advocate-for-new-jerseys-app-based-independent-workers/,"Feb 2, 2021"
NJ,VIDEO: NJ Spotlight News: Gig economy grows in New Jersey | NJ Business Beat,https://njcoalition4independentwork.com/video-nj-spotlight-news-gig-economy-grows-in-new-jersey-nj-business-beat/,"Feb 2, 2021"
NJ,"Business, community, faith and tech groups form N.J. Coalition for Independent Work",https://njcoalition4independentwork.com/business-community-faith-and-tech-groups-form-n-j-coalition-for-independent-work/,"Feb 2, 2021"
NJ,Asbury Park Press: Reclassifying ‘gig’ workers is a bad idea,https://njcoalition4independentwork.com/363-2/,"Jan 1, 2021"
NJ,"CNBC: What Uber, Lyft Prop 22 win could mean for the future of all freelance work",https://njcoalition4independentwork.com/cnbc-what-uber-lyft-prop-22-win-could-mean-for-the-future-of-all-freelance-work/,"Nov 4, 2020"
NJ,"NJBiz: OP-ED: Legislature poised to increase pay gap, crush flexibility for working moms",https://njcoalition4independentwork.com/njbiz-op-ed-legislature-poised-to-increase-pay-gap-crush-flexibility-for-working-moms/,"Nov 13, 2019"
NJ,"Washington Post: As the gig economy grows, parents find flexibility and fulfillment — and pitfalls",https://njcoalition4independentwork.com/washington-post-as-the-gig-economy-grows-parents-find-flexibility-and-fulfillment-and-pitfalls/,"Feb 26, 2019"
MA,"State House News Service: Poll Tests Drivers’ Opinions on Work Rules, Benefits",https://independentmass.org/news/state-house-news-service-poll-tests-drivers-opinions-on-work-rules-benefits/,"June 3, 2021"
MA,State House News Service: Gig Worker Classification Debate Heats Up With New Poll,https://independentmass.org/news/state-house-news-service-gig-worker-classification-debate-heats-up-with-new-poll/,"April 20, 2021"
MA,POLITICO Massachusetts Playbook: Gig economy battle shifts into gear,https://independentmass.org/news/politico-massachusetts-playbook-gig-economy-battle-shifts-into-gear/,"April 20, 2021"
MA,Boston Globe: Fight over status of gig workers heats up on Beacon Hill,https://independentmass.org/news/boston-globe-fight-over-status-of-gig-workers-heats-up-on-beacon-hill/,"March 3, 2021"
MA,"Boston Business Journal: Local nonprofits join Uber, Lyft in new coalition for ‘app-based workers’",https://independentmass.org/news/boston-business-journal-local-nonprofits-join-uber-lyft-in-new-coalition-for-app-based-workers/,"March 3, 2021"
MA,"MassLive.com (opinion): Keep flexibility for gig economy, but add benefits too",https://independentmass.org/news/masslive-com-opinion-keep-flexibility-for-gig-economy-but-add-benefits-too/,"February 3, 2021"
MA,"Boston Globe (letter): As seen in Calif. vote, many gig workers want both independence and benefits",https://independentmass.org/news/boston-globe-letter-as-seen-in-calif-vote-many-gig-workers-want-both-independence-and-benefits/,"January 28, 2021"
MA,CommonWealth Magazine (opinion): Mass. should follow California’s lead on contractors,https://independentmass.org/news/commonwealth-magazine-mass-should-follow-californias-lead-on-contractors/,"December 2, 2020"
MA,The Daily News of Newburyport: New rules could be coming for Uber and Lyft drivers,https://independentmass.org/news/the-daily-news-of-newburyport-new-rules-could-be-coming-for-uber-and-lyft-drivers/,"November 23, 2020"
MA,State House News Service: Battle brewing over rights of for-hire drivers in Massachusetts,https://independentmass.org/news/state-house-news-service-battle-brewing-over-rights-of-for-hire-drivers-in-massachusetts/,"November 16, 2020"
MA,Boston Globe: Uber and Lyft are in an Election Day showdown with California. Massachusetts might be next,https://independentmass.org/news/boston-globe-uber-and-lyft-are-in-an-election-day-showdown-with-california-massachusetts-might-be-next/,"November 1, 2020"
IL,New Poll Shows Drivers Want Flexibility and Independence,https://independentworkil.org/illinois-playbook/,"May 25, 2021"
IL,App-Based Platforms Fill Gaps During COVID-19,https://independentworkil.org/app-based-platforms-fill-gaps-during-covid-19/,"May 19, 2021"
IL,Why the PRO Act would harm gig economy workers,https://independentworkil.org/why-the-pro-act-would-harm-gig-economy-workers/,"May 12, 2021"
IL,Op-Ed: Why Independent Workers Want To Stay Independent,https://independentworkil.org/op-ed-why-independent-workers-want-to-stay-independent/,"March 1, 2021"
IL,Momentum Builds for Coalition for Independent Work to Protect Flexibility & Independence for App-Based Drivers,https://independentworkil.org/momentum-builds-for-coalition-for-independent-work-to-protect-flexibility-independence-for-app-based-drivers/,"March 1, 2021"
